item_position,included_in_common11,wording_2023,wording_2024,wording_2025,exact_after_question_number_whitespace_normalization,interpretation
11,False,Q33. 디지털 역량 수준 11) 사이버범죄 등 불법 사이트를 신고하는 방법을 알고 있다,Q31. 디지털 역량 수준 11) 스마트폰 앱을 통해 불법 사이트나 사이버범죄를 즉시 신고하고 실시간으로 처리 상황을 확인할 수 있다,Q29. 디지털 역량 수준 11) 스마트폰 앱을 통해 불법 사이트나 사이버범죄를 즉시 신고하고 실시간으로 처리 상황을 확인할 수 있다,False,substantive wording change; excluded
12,False,Q33. 디지털 역량 수준 12) 찾은 정보의 출처를 확인할 수 있다,Q31. 디지털 역량 수준 12) 팩트체크 툴을 사용하여 온라인 정보의 신뢰성을 실시간으로 검증하고 원본 출처를 추적할 수 있다,Q29. 디지털 역량 수준 12) 팩트체크 툴을 사용하여 온라인 정보의 신뢰성을 실시간으로 검증하고 원본 출처를 추적할 수 있다,False,substantive wording change; excluded
13,True,Q33. 디지털 역량 수준 13) 다른 자료들과 비교해 검색 결과에서 믿을만한 정보를 구별할 수 있다,Q31. 디지털 역량 수준 13) 다른 자료들과 비교해 검색 결과에서 믿을만한 정보를 구별할 수 있다,Q29. 디지털 역량 수준 13) 다른 자료들과 비교해 검색 결과에서 믿을만한 정보를 구별할 수 있다,True,same wording after question-number/whitespace normalization
14,True,Q33. 디지털 역량 수준 14) 광고성 정보를 구별해 낼 수 있다,Q31. 디지털 역량 수준 14) 광고성 정보를 구별해 낼 수 있다,Q29. 디지털 역량 수준 14) 광고성 정보를 구별해 낼 수 있다,True,same wording after question-number/whitespace normalization
15,False,Q33. 디지털 역량 수준 15) 사기 또는 속이려는 사이트를 가려낼 수 있다,Q31. 디지털 역량 수준 15) 방문한 사이트의 신뢰도를 실시간으로 확인하고 피싱 및 사기 사이트를 자동으로 차단할 수 있다,Q29. 디지털 역량 수준 15) 방문한 사이트의 신뢰도를 실시간으로 확인하고 피싱 및 사기 사이트를 자동으로 차단할 수 있다,False,substantive wording change; excluded
16,False,Q33. 디지털 역량 수준 16) 영상을 촬영해서 편집할 수 있다,Q31. 디지털 역량 수준 16) 모바일 앱을 사용하여 스마트폰으로 촬영한 영상을 편집할 수 있다,Q29. 디지털 역량 수준 16) 모바일 앱을 사용하여 스마트폰으로 촬영한 영상을 편집할 수 있다,False,substantive wording change; excluded
17,False,Q33. 디지털 역량 수준 17) 사진을 보정하거나 편집할 수 있다,"Q31. 디지털 역량 수준 17) 모바일 앱으로 사진을 보정하고, 원하는 스타일로 변환하거나 없는 요소를 추가할 수 있다","Q29. 디지털 역량 수준 17) 모바일 앱으로 사진을 보정하고, 원하는 스타일로 변환하거나 없는 요소를 추가할 수 있다",False,substantive wording change; excluded
18,False,"Q33. 디지털 역량 수준 18) 드라마, 애니메이션, 뮤직비디오, 영화 등 기존 영상 콘텐츠를 동영상이나 GIF 같은 다른 형식의 콘텐츠로 바꿀 수 있다","Q31. 디지털 역량 수준 18) 드라마, 애니메이션, 뮤직비디오, 영화 등의 영상을 숏폼 콘텐츠로 변환할 수 있다","Q29. 디지털 역량 수준 18) 드라마, 애니메이션, 뮤직비디오, 영화 등의 영상을 숏폼 콘텐츠로 변환할 수 있다",False,substantive wording change; excluded
19,False,"Q33. 디지털 역량 수준 19) 국회의원, 지방의원이나 정당 활동에 참여하거나 후원할 수 있다","Q31. 디지털 역량 수준 19) 시민 참여 플랫폼을 통해 국회의원 및 지방의원 선거의 온라인 투표에 참여하고, 크라우드펀딩으로 정당이나 후보자를 실시간 후원할 수 있다","Q29. 디지털 역량 수준 19) 시민 참여 플랫폼을 통해 국회의원 및 지방의원 선거의 온라인 투표에 참여하고, 크라우드펀딩으로 정당이나 후보자를 실시간 후원할 수 있다",False,substantive wording change; excluded
20,True,Q33. 디지털 역량 수준 20) 정치·사회 문제에 대해 토론하거나 서명·청원 등을 할 수 있다,Q31. 디지털 역량 수준 20) 정치·사회 문제에 대해 토론하거나 서명·청원 등을 할 수 있다,Q29. 디지털 역량 수준 20) 정치·사회 문제에 대해 토론하거나 서명·청원 등을 할 수 있다,True,same wording after question-number/whitespace normalization
21,False,Q33. 디지털 역량 수준 21) 인터넷으로 기부를 할 수 있다,Q31. 디지털 역량 수준 21) 기부 플랫폼을 통해 실시간으로 전 세계 다양한 프로젝트에 암호화폐 등으로 기부할 수 있다,Q29. 디지털 역량 수준 21) 기부 플랫폼을 통해 실시간으로 전 세계 다양한 프로젝트에 암호화폐 등으로 기부할 수 있다,False,substantive wording change; excluded
22,False,Q33. 디지털 역량 수준 22) 소셜미디어나 게시판 등에 글을 쓸 때 공개범위를 설정할 수 있다,Q31. 디지털 역량 수준 22) 소셜미디어 앱의 개인정보 설정을 사용하여 게시물을 볼 수 있는 사람을 선택할 수 있다,Q29. 디지털 역량 수준 22) 소셜미디어 앱의 개인정보 설정을 사용하여 게시물을 볼 수 있는 사람을 선택할 수 있다,False,substantive wording change; excluded
23,False,Q33. 디지털 역량 수준 23) 백신 프로그램을 설치해 악성코드를 검사·치료할 수 있다,Q31. 디지털 역량 수준 23) AI 기반 통합 보안 앱을 설치하여 실시간으로 악성코드를 탐지하고 치료할 수 있다,Q29. 디지털 역량 수준 23) AI 기반 통합 보안 앱을 설치하여 실시간으로 악성코드를 탐지하고 치료할 수 있다,False,substantive wording change; excluded
24,False,Q33. 디지털 역량 수준 24) PC·스마트폰·태블릿PC에서 쿠키 및 방문기록을 삭제할 수 있다,Q31. 디지털 역량 수준 24) PC·스마트폰·태블릿PC에서 쿠키 및 방문기록을 삭제할 수 있다,Q29. 디지털 역량 수준 24) 프라이버시 보호 브라우저 확장 프로그램을 사용하여 PC·스마트폰·태블릿PCdptj 자동으로 쿠키와 방문기록을 관리할 수 있다,False,substantive wording change; excluded
